"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dbh_1","dbh_2","dbh","height","expan","basal_area"
"486852","IFN2","25_1190_IFN2","25_1190_37_IFN2",21,180,178,17.9,10,31.8309886183791,251.649425534176
"486853","IFN2","25_1190_IFN2","25_1190_38_IFN2",21,210,207,20.85,10.5,31.8309886183791,341.430253087547
"486854","IFN2","25_1190_IFN2","25_1190_39_IFN2",21,155,152,15.35,10.5,31.8309886183791,185.057478755115
"486855","IFN2","25_1190_IFN2","25_1190_40_IFN2",21,132,138,13.5,9.5,31.8309886183791,143.138815279185
"486856","IFN2","25_1190_IFN2","25_1190_41_IFN2",21,245,224,23.45,10.5,14.1471060526129,431.892413547665
"486857","IFN2","25_1190_IFN2","25_1190_42_IFN2",21,205,195,20,10,31.8309886183791,314.159265358979
"486858","IFN2","25_1190_IFN2","25_1190_43_IFN2",21,239,234,23.65,9.5,14.1471060526129,439.290864246869
"486859","IFN2","25_1190_IFN2","25_1190_44_IFN2",21,203,197,20,10.5,31.8309886183791,314.159265358979
"486860","IFN2","25_1190_IFN2","25_1190_45_IFN2",21,180,189,18.45,9.5,31.8309886183791,267.3514983159
"486861","IFN2","25_1190_IFN2","25_1190_46_IFN2",21,206,201,20.35,9,31.8309886183791,325.25105092156
"486862","IFN2","25_1190_IFN2","25_1190_47_IFN2",21,217,204,21.05,9,31.8309886183791,348.011889696818
"486863","IFN2","25_1190_IFN2","25_1190_48_IFN2",21,170,169,16.95,9,31.8309886183791,225.646855839495
"487970","IFN2","25_1277_IFN2","25_1277_1_IFN2",21,80,84,8.2,6,127.323954473516,52.8101725068444
"487971","IFN2","25_1277_IFN2","25_1277_2_IFN2",21,92,92,9.2,5.5,127.323954473516,66.47610054996
"487972","IFN2","25_1277_IFN2","25_1277_3_IFN2",21,83,81,8.2,3,127.323954473516,52.8101725068444
"487973","IFN2","25_1277_IFN2","25_1277_4_IFN2",21,83,86,8.45,5,127.323954473516,56.0793923619863
"487974","IFN2","25_1277_IFN2","25_1277_5_IFN2",21,102,105,10.35,4.5,127.323954473516,84.1338147585431
"487975","IFN2","25_1277_IFN2","25_1277_6_IFN2",21,134,129,13.15,5.5,31.8309886183791,135.813013910095
"492499","IFN2","25_1610_IFN2","25_1610_1_IFN2",21,175,168,17.15,9.5,31.8309886183791,231.003271313866
"492500","IFN2","25_1610_IFN2","25_1610_2_IFN2",21,168,188,17.8,10,31.8309886183791,248.845554090848
