"","Provincia","Estadillo","TREE_ID_IFN2","rumbo","distancia","specie","dbh_1","dbh_2","height","quality","shape","special_param","INVENTORY_ID","PLOT_ID","TREE_ID","IFN_TREE_ID","dbh","expan","basal_area"
"482917",25,982,31,237," 2.9",21,94,94,9,2,3,"","IFN2","25_982","25_982_31","IFN2_25_982_31",9.4,127.323954473516,69.3977817177985
"482918",25,982,32,242," 7.0",21,125,125,8,2,2,"","IFN2","25_982","25_982_32","IFN2_25_982_32",12.5,31.8309886183791,122.718463030851
"482919",25,982,33,251," 9.2",21,133,133,8.5,2,2,"","IFN2","25_982","25_982_33","IFN2_25_982_33",13.3,31.8309886183791,138.929081123375
"482920",25,982,34,265," 7.3",21,211,208,9.5,2,2,"","IFN2","25_982","25_982_34","IFN2_25_982_34",20.95,31.8309886183791,344.713217410549
"482921",25,982,35,275," 3.1",21,152,153,10,2,2,"","IFN2","25_982","25_982_35","IFN2_25_982_35",15.25,31.8309886183791,182.654160375119
"482922",25,982,36,277," 2.4",21,84,86,10,2,3,"","IFN2","25_982","25_982_36","IFN2_25_982_36",8.5,127.323954473516,56.7450173054656
"482923",25,982,37,283," 2.5",21,155,154,10,2,2,"","IFN2","25_982","25_982_37","IFN2_25_982_37",15.45,31.8309886183791,187.476505098379
"482924",25,982,38,287," 7.2",21,137,133,10,2,2,"2","IFN2","25_982","25_982_38","IFN2_25_982_38",13.5,31.8309886183791,143.138815279185
"482925",25,982,39,288," 7.1",21,164,156,10,2,2,"2","IFN2","25_982","25_982_39","IFN2_25_982_39",16,31.8309886183791,201.061929829747
"482926",25,982,40,288," 7.3",21,138,137,10,2,2,"","IFN2","25_982","25_982_40","IFN2_25_982_40",13.75,31.8309886183791,148.48934026733
"482927",25,982,41,301," 9.2",21,163,180,9.5,2,2,"","IFN2","25_982","25_982_41","IFN2_25_982_41",17.15,31.8309886183791,231.003271313866
"482928",25,982,42,305," 8.6",21,122,132,10,2,2,"","IFN2","25_982","25_982_42","IFN2_25_982_42",12.7,31.8309886183791,126.676869774374
"482929",25,982,43,311," 4.9",21,132,133,9,2,2,"","IFN2","25_982","25_982_43","IFN2_25_982_43",13.25,31.8309886183791,137.886465061465
"482930",25,982,44,326," 4.6",21,149,145,9,2,2,"","IFN2","25_982","25_982_44","IFN2_25_982_44",14.7,31.8309886183791,169.716689128555
"482931",25,982,45,329," 7.7",21,154,152,10,2,2,"","IFN2","25_982","25_982_45","IFN2_25_982_45",15.3,31.8309886183791,183.853856069709
"482932",25,982,46,334," 9.9",21,185,202,10.5,2,2,"","IFN2","25_982","25_982_46","IFN2_25_982_46",19.35,31.8309886183791,294.070743834681
"482933",25,982,47,340," 8.0",21,144,142,10,2,2,"","IFN2","25_982","25_982_47","IFN2_25_982_47",14.3,31.8309886183791,160.606070433144
"482934",25,982,48,355," 7.7",21,157,152,9,2,2,"","IFN2","25_982","25_982_48","IFN2_25_982_48",15.45,31.8309886183791,187.476505098379
"482935",25,982,49,357," 6.6",21,177,173,10,2,2,"","IFN2","25_982","25_982_49","IFN2_25_982_49",17.5,31.8309886183791,240.528187540469
"482936",25,982,50,363," 3.8",21,104,104,7,3,3,"","IFN2","25_982","25_982_50","IFN2_25_982_50",10.4,127.323954473516,84.948665353068
"482937",25,982,51,365," 3.4",21,159,154,10.5,2,2,"","IFN2","25_982","25_982_51","IFN2_25_982_51",15.65,31.8309886183791,192.361681674712
"482938",25,982,52,370," 3.7",21,147,139,10.5,2,2,"","IFN2","25_982","25_982_52","IFN2_25_982_52",14.3,31.8309886183791,160.606070433144
"482939",25,982,53,375," 8.8",21,157,155,9,2,2,"","IFN2","25_982","25_982_53","IFN2_25_982_53",15.6,31.8309886183791,191.134497044403
"486554",25,1160,1,119," 4.4",21,154,152,6,2,3,"","IFN2","25_1160","25_1160_1","IFN2_25_1160_1",15.3,31.8309886183791,183.853856069709
"486555",25,1160,2,133," 1.7",21,123,118,5.5,2,3,"","IFN2","25_1160","25_1160_2","IFN2_25_1160_2",12.05,127.323954473516,114.041776820718
"486556",25,1160,3,202," 2.4",21,136,138,6.5,2,3,"","IFN2","25_1160","25_1160_3","IFN2_25_1160_3",13.7,31.8309886183791,147.411381288067
"486557",25,1160,4,271," 3.9",21,115,114,6.5,2,3,"","IFN2","25_1160","25_1160_4","IFN2_25_1160_4",11.45,127.323954473516,102.967662716814
"486558",25,1160,5,286," 1.4",21,102,108,6,2,3,"","IFN2","25_1160","25_1160_5","IFN2_25_1160_5",10.5,127.323954473516,86.5901475145687
