"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"5045","IFN3","15_1144_IFN3",4,21,26,4.30882847222222,314.773109670637,11.4825842696629,7.94943820224719,13.2018821010959,9.27358490566038
"5048","IFN3","15_1145_IFN3",6,21,26,10.8494444444444,1414.71060526129,9.709,6.46,9.88154846165316,8.8
"5075","IFN3","15_1159_IFN3",4,63,26,2.00435555555556,28.2942121052258,30,24.75,30.0326489008213,24.75
"5086","IFN3","15_1166_IFN3",10,17,26,27.3041203055556,1431.5456614639,13.9294248443522,19.3706393912442,15.5835554690647,24.4284116331096
"5178","IFN3","15_1225_IFN3",5,39,26,4.07966527777778,346.604098289017,10.8020408163265,12.5,12.2419465405646,13.3709677419355
"5249","IFN3","15_1282_IFN3",10,39,26,14.0214944444444,1174.20980236687,11.7042168674699,13.4352409638554,12.3304623272941,14.9428571428571
"5252","IFN3","15_1285_IFN3",10,50,26,7.09896875,604.788783749202,12.1605263157895,14.5263157894737,12.225055160784,15.875
"5254","IFN3","15_1289_IFN3",5,3,26,0.990025,127.323954473516,9.95,9.5,9.95,9.5
"5275","IFN3","15_1301_IFN3",6,39,26,5.4790875,700.281749604339,9.83636363636364,12.8181818181818,9.98097053032784,14.3333333333333
"5299","IFN3","15_1322_IFN3",10,3,26,1.751225,190.985931710274,10.55,6.5,10.8050142680763,6.5
"5301","IFN3","15_1325_IFN3",30,50,26,42.9211028055556,967.096169756619,22.8318387946167,17.613516676419,23.7714494699724,20.5244565217391
"5317","IFN3","15_1349_IFN3",40,52,26,38.1026614444444,212.206590789194,46.9190666666667,24.3533333333333,47.8138022611324,24.975
"5321","IFN3","15_1354_IFN3",10,52,26,31.4890256944444,2369.64026381266,12.4863432835821,8.29477611940299,13.0074888016624,9
"5345","IFN3","15_1371_IFN3",10,16,26,8.42550138888889,346.604098289017,16.7051020408163,6.89285714285714,17.5928455425981,8.24285714285714
"5356","IFN3","15_1378_IFN3",30,52,26,37.2673596666667,737.064225341133,21.7155086372361,17.9445297504798,25.3727012233708,27.6526315789474
"5365","IFN3","15_1381_IFN3",15,52,26,30.1261138888889,1807.2927982213,13.9197651663405,11.1634050880626,14.568416767902,13.5882352941176
